COMID,frac_1,frac_5,frac_6,frac_8,frac_10,frac_14,frac_15,frac_16,frac_17,frac_18,frac_19,majority
71028097,0.0,0.0,0.0,0.46410063462391987,0.2682708996892188,0.0,0.20372687310539858,0.0,0.06390159258146276,0.0,0.0,8
71028132,0.204783549947949,0.0,0.0,0.5354059974801125,0.1942187509800159,0.0,0.0655917015919225,0.0,0.0,0.0,0.0,8
71028140,0.5860878933395206,0.0,0.0,0.0,0.12193028610489323,0.0,0.0,0.23573387545540067,0.05624794510018552,0.0,0.0,1
71028159,0.6373181502478015,0.0,0.0,0.0,0.056224434429972575,0.0,0.0,0.30645741532222587,0.0,0.0,0.0,1
71028189,0.620712870990789,0.0,0.0,0.0,0.0,0.0,0.0,0.1869705900669495,0.07391961348276221,0.11839692545949942,0.0,1
71028215,0.4409772658244599,0.0,0.0,0.48422334185939664,0.07479939231614352,0.0,0.0,0.0,0.0,0.0,0.0,8
71028221,0.6927613713002246,0.0,0.0,0.0,0.0,0.0,0.0,0.30723862869977536,0.0,0.0,0.0,1
71028249,0.5693500419876374,0.0,0.0,0.21421466034219347,0.1351331017463724,0.0,0.0,0.0,0.08130219592379678,0.0,0.0,1
71028304,0.5712364876774602,0.0,0.0,0.13206984135823413,0.10769998912916401,0.0,0.0,0.12235239823027064,0.0,0.06664128360487097,0.0,1
71028311,0.545014815158229,0.0,0.0,0.0,0.15934917006069466,0.0,0.0,0.29563601478107643,0.0,0.0,0.0,1
71028377,0.6916877027375711,0.0,0.0,0.17537759659438493,0.13293470066804397,0.0,0.0,0.0,0.0,0.0,0.0,1
71028380,0.7682900103804177,0.0,0.0,0.1297112497249559,0.10199873989462645,0.0,0.0,0.0,0.0,0.0,0.0,1
71028490,0.1347644635023633,0.0,0.0,0.19008507029641064,0.09884013655148437,0.07009605212548764,0.506214277524254,0.0,0.0,0.0,0.0,15
71028494,0.08977907001258154,0.0,0.0,0.2656188238999342,0.0654948023891233,0.08407886171446645,0.49502844198389456,0.0,0.0,0.0,0.0,15
71028498,0.12051762155014106,0.0,0.0,0.21659027895174793,0.07556245534772316,0.0,0.5873296441503879,0.0,0.0,0.0,0.0,15
71028505,0.1095964791809653,0.0,0.0,0.2367302551712593,0.07304713923775279,0.0,0.4712983486767342,0.0,0.1093277777332883,0.0,0.0,15
71028510,0.28553506606695456,0.0,0.0,0.13916702570540346,0.14479348540482276,0.0,0.36678036017819615,0.0,0.06372406264462317,0.0,0.0,15
71028524,0.06905285413475826,0.0,0.0,0.3256375831292814,0.1203109749401749,0.05569455039663702,0.31355308695118317,0.0,0.058268688644907744,0.05748226180305746,0.0,8
71028526,0.21179340574988664,0.0,0.0,0.22279583409764636,0.12175259756965566,0.0,0.35701639632680443,0.0,0.0,0.08664176625600689,0.0,15
71028531,0.21440808432503916,0.0,0.0,0.18058935826863498,0.0,0.08617526134409385,0.4095140543184642,0.0,0.0,0.1093132417437678,0.0,15
71028546,0.0,0.0,0.0,0.11438560696651127,0.0,0.0,0.8856143930334887,0.0,0.0,0.0,0.0,15
71028558,0.5200045157456533,0.0,0.08202052312284544,0.3979749611315012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
71028580,0.0,0.0,0.0,0.10837040409513271,0.0,0.0,0.8916295959048673,0.0,0.0,0.0,0.0,15
71028585,0.5579467903585299,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.44205320964147005,0.0,0.0,1
71028597,0.4513259441522638,0.0,0.0,0.10410005457853222,0.11043237464146409,0.0,0.0,0.22213724413751054,0.0,0.11200438249022936,0.0,1
71028598,0.6473668358442541,0.0,0.0,0.35263316415574586,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
71028609,0.6505842213102359,0.0,0.0,0.0,0.0727902022265662,0.0,0.0,0.2766255764631979,0.0,0.0,0.0,1
71028657,0.5943700212166032,0.0,0.0,0.25145495434149195,0.15417502444190487,0.0,0.0,0.0,0.0,0.0,0.0,1
71028663,0.49201211241111514,0.0,0.0,0.10860002693538129,0.3993878606535036,0.0,0.0,0.0,0.0,0.0,0.0,1
71028675,0.0,0.0,0.0,0.0695159846546244,0.0,0.0,0.9304840153453756,0.0,0.0,0.0,0.0,15
71028676,0.5848448799066664,0.0,0.0,0.0,0.129495249468621,0.0,0.0,0.2856598706247125,0.0,0.0,0.0,1
71028681,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
71028685,0.5633189426732661,0.0,0.0,0.07553013169415858,0.2626387849752706,0.0,0.0,0.0,0.09851214065730478,0.0,0.0,1
71028699,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
71028700,0.9111253964154241,0.0,0.0,0.0,0.0,0.0,0.0,0.08887460358457591,0.0,0.0,0.0,1
71028722,0.08199009434211046,0.0,0.0,0.21670613818463758,0.0,0.0,0.701303767473252,0.0,0.0,0.0,0.0,15
71028727,0.11089504233238254,0.0,0.0,0.2827050364888511,0.0,0.05625998756102407,0.49464051586423174,0.0,0.05549941775351058,0.0,0.0,15
71028734,0.1631015461528806,0.0,0.0,0.2345734239860835,0.09408617802940511,0.0,0.5082388518316308,0.0,0.0,0.0,0.0,15
71028740,0.8120904986103993,0.0,0.0,0.0,0.0,0.0,0.0,0.18790950138960072,0.0,0.0,0.0,1
71028757,0.15160529833225392,0.0,0.0,0.4044084838898212,0.35472359417436744,0.0,0.0,0.0,0.0,0.08926262360355738,0.0,8
71028795,0.0,0.0,0.0,0.09361930608082311,0.0,0.0,0.9063806939191769,0.0,0.0,0.0,0.0,15
71028833,0.5205231350004049,0.0,0.0,0.3484940898688678,0.13098277513072715,0.0,0.0,0.0,0.0,0.0,0.0,1
71028835,0.0,0.0,0.0,0.0,0.0,0.0,0.9370252395731047,0.0,0.06297476042689529,0.0,0.0,15
71028847,0.6372399625890974,0.0,0.0,0.06363736650150631,0.15293288152849419,0.0,0.0,0.14618978938090219,0.0,0.0,0.0,1
71028852,0.8130300424258039,0.0,0.0,0.0,0.0,0.0,0.0,0.18696995757419607,0.0,0.0,0.0,1
