COMID,lat,lon,frac_1,frac_2,frac_3,frac_4,frac_5,frac_6,frac_7,frac_8,frac_9,frac_10,frac_11,frac_12,frac_13,frac_14,frac_15,frac_16,frac_17,frac_18,frac_19
71037546,50.36831697,-114.2757305,0.005952387,0,0,0,0.000171046,0,0,0.48872453,0,0.486570537,0,0,0,0.001240412,0.000273673,0,0.00198118,0.015086222,0
71037612,50.41159506,-114.3724725,0.069694586,0,0,0,0.000280567,0,0,0.625103176,0,0.297044575,0,0,0,0.000448907,0.001374776,6.43E-05,0.001948999,0.004040159,0
71037682,50.40514014,-114.8013865,0.518476665,0,0,0,0,0,0,0.219337314,0,0.097446606,0,0,0,0,0,0.161625385,0,0.003113974,0
71037762,50.4558553,-114.856204,0.688923538,0,0,0,0,0,0,0.075936854,0,0.048330478,0,0,0,0,0,0.185073584,0,0.001735618,0
71037815,50.47363442,-114.3299475,0.00219489,0,0,0,0.000149126,0,0,0.638085067,0,0.316807479,0,0,0,8.13E-05,0.032331098,5.16E-05,0.00553591,0.004763563,0
71037856,50.47214372,-114.5945668,0.416698366,0,0,0,9.78E-05,3.26E-05,0,0.22452797,0,0.131115019,0,0,0,0.000588155,0.000557515,0.222789571,0.003188405,0.000404601,0
71037879,50.50717277,-114.5534324,0.615886807,0,0,0,0,0,0,0.300168216,0,0.082384281,0,0,0,0,0,0.001560695,0,0,0
71037949,50.54868979,-114.4717964,0.584139884,0,0,0,0,0,0,0.364888847,0,0.049502935,0,0,0,0,0.001468316,0,0,0,0
71037968,50.55185315,-114.1024798,0.000228092,0,0,0,0,0,0,0.14025034,0,0.293759912,0,0,0,0,0.515226245,0.000162923,0.046604574,0.003767911,0
71037977,50.54370283,-114.9384401,0.484033585,0,0,0,0,0,0,0.099801369,0,0.134426922,0,0,0,0,0,0.27215305,0.009062802,0.000522249,0
71037990,50.53762083,-114.5681325,0.708909869,0,0,0,0,0,0,0.178565919,0,0.089767165,0,0,0,0,0.00051598,0.014603021,0.007638071,0,0
71038014,50.56068095,-114.8771114,0.568714797,0,0,0,0,0,0,0.061205704,0,0.149175286,0,0,0,0,0,0.218742281,0.001613079,4.00E-06,0.000544844
71038064,50.57653828,-114.411096,0.28726086,0,0,0,0,0,0,0.509549439,0,0.20017615,0,0,0,0.000152828,0.000244526,0,0.001271277,0.00134489,0
71038127,50.57639261,-115.2030294,0.103446387,0,0,0,0,0,0,0.011568049,0,0.075519368,0,0,0,0,0,0.613120079,0,0.033454113,0.162892044
71038233,50.59754044,-115.0811036,0.782675087,0.000193965,0,0,0,0,0,0.031470206,0,0.040914465,0,0,0,0,0,0.133907169,0.008119876,0.002719247,0
71038278,50.64291403,-115.050557,0.564524114,0,0,0,0,0,0,0.05714874,0,0.100124992,0,0,0,0,0,0.260376364,0.016307568,0.001101399,0.000416745
71038383,50.65407259,-115.2548218,0.248362646,0,0,0,0,0,0,0.017189277,0,0.09080337,0,0,0,0,0,0.538386345,0,0.022476191,0.082782179
71038637,50.76415142,-115.4071225,0.468210578,0.001208802,0,0,0,0,0,0.1222592,0,0.099458218,0,0,0,0,0,0.27107662,0,0.014691084,0.023095524
71038722,50.75139123,-115.2609623,0.452246547,3.38E-05,0,0,0,0,0,0.049084395,0,0.075036146,0,0,0,3.38E-05,0,0.390199572,0.006317769,0.008932519,0.018115355
71038826,50.80445064,-115.4978113,0.357873499,0,0,0,0,0,0,0.050973199,0,0.117861331,0,0,0,0,0,0.443281442,0,0.007912448,0.022098079
71038844,50.82771671,-115.3270675,0.513739288,0,0,0,0,0,0,0.059356537,0,0.0773817,0,0,0,0.000666243,0,0.326331556,0.007070438,0.014326735,0.001127488
71038890,50.82079841,-115.1262127,0.400488585,0,0,0,0,0,0,0.043868762,0,0.184918001,0,0,0,0,0,0.36936149,0.001154318,0,0.000208874
71038901,50.84678724,-115.0678051,0.42864272,0,0,0,0,0,0,0.037630782,0,0.103802592,0,0,0,0,0,0.427430063,0.002279182,0.000214654,0
71038946,50.85172861,-115.2307212,0.366987646,0,0,0,0,0,0,0.095207267,0,0.128116846,0,0,0,0.000164259,0,0.39314118,0,0.016082115,0.000300711
71038961,50.86819711,-115.588181,0.301505029,0,0,0,0,0,0,0.020356178,0,0.111251473,0,0,0,0,0,0.348514527,0,0.078746155,0.139626682
71039048,50.91252895,-115.4650436,0.305864453,0,0,0,0,0,0,0.018581526,0,0.168456092,0,0,0,0,0,0.497843713,0,0.004699989,0.004554179
71039109,50.93167152,-115.5545175,0.26317516,0,0,0,0,0,0,0.084291123,0,0.159419537,0,0,0,0.000643047,0,0.488989532,0,0.00262423,0.000857396
71039121,50.91734192,-115.2165672,0.314820707,0.000742882,0,0,0,0,0,0.085995436,0,0.104014315,0,0,0,0,0,0.482973963,0.004573062,0.006516809,0.000362803
71039250,50.95241359,-115.0347456,0.50325352,0,0,0,0,0,0,0.000132995,0,0.095132723,0,0,0,0,0,0.393934995,0.001138362,0.006407387,0
71039266,50.93627307,-115.3234242,0.321028471,4.75E-05,0,0,0,0,0,0.003680115,0,0.091682263,0,0,0,0,0,0.451254517,0.017152175,0.112424053,0.002730891
