COMID,lat,lon,frac_1,frac_2,frac_5,frac_6,frac_8,frac_10,frac_14,frac_15,frac_16,frac_17,frac_18,frac_19
71025583,52.4214526722849,-114.809051487404,0.0781081989407539,0,0.000943914463277906,0.0132071217522025,0.145880728960037,0.0436673387885094,0.108953528106213,0.550285637378693,0.00391356693580747,0.0454453714191914,0.00959461368620396,0
71025693,52.4314303868646,-114.458101664418,0.0135826217010617,0,0.0248659607023001,0.0638083294034004,0.102519437670708,0.0152377178892493,0.019907096400857,0.64612877368927,0.00145585346035659,0.0391200557351112,0.0733741745352745,0
71025799,52.4629239062859,-114.608635352246,0.0599652379751205,0,0.00932786799967289,0.0558124184608459,0.1990005671978,0.0346683599054813,0.0369022861123085,0.550202429294586,0.00101853371597826,0.0459196753799915,0.00718264374881983,0
71025839,52.4679610071749,-114.537693120096,0.0367221236228943,0,0.0235855467617512,0.0700888484716415,0.233126625418663,0.0306941661983728,0.0412868857383728,0.520660698413849,0.000651655602268875,0.0317376628518105,0.0114458007737994,0
71025869,52.4920616921973,-114.363368537578,0.00637991679832339,0,0.0110272597521544,0.024278499186039,0.0650108456611633,0.0215496718883514,0.0288063082844019,0.777638852596283,0,0.064029149711132,0.0012795019429177,0
71025911,52.5074905811435,-114.569544362815,0.0745292007923126,0,0.00852110609412193,0.0931269004940987,0.219531387090683,0.0288551598787308,0.0881944969296455,0.444116115570068,0.00210634176619351,0.0390563271939754,0.00196296581998467,0
71026015,52.5347376723372,-114.833581832333,0.259224534034729,0,0.00565105816349387,0.0756375193595886,0.204107716679573,0.0229257568717003,0.105353660881519,0.298634022474289,0.00284239882603288,0.0233047492802143,0.00231861392967403,0
71026036,52.5511486649997,-114.658084886129,0.0661849156022072,0,0.0135967088863254,0.0914645418524742,0.201323717832565,0.0286593809723854,0.074766993522644,0.476781755685806,0.00122131372336298,0.0449618734419346,0.00103874842170626,0
71026037,52.5493678997961,-114.763339240056,0.106464579701424,0,0.00458594691008329,0.0661776065826416,0.17855504155159,0.0258044898509979,0.078835129737854,0.495053023099899,0.0011273876298219,0.0421965345740318,0.00120028876699507,0
71026134,52.560557832762,-114.388945819049,0.00618268549442291,0,0.00469419406726956,0.0268588680773973,0.0425776168704033,0.00608180509880185,0.035945001989603,0.831469655036926,0,0.0429648719727993,0.00322530465200543,0
71026193,52.6107656195156,-114.422992716743,0.0308403018862009,0,0.00143111555371433,0.0371572114527225,0.0558063648641109,0.0169035028666258,0.0547074936330318,0.753500401973724,0,0.0426532700657845,0.00700028892606497,0
71026196,52.6013480940311,-114.667913995328,0.0613279156386852,0,0.0828450322151184,0.13975565135479,0.240371555089951,0.0152999386191368,0.0978970378637314,0.318931460380554,0.000486948789330199,0.0401919260621071,0.00289247767068446,0
71026344,52.6473381342847,-114.663314165025,0.132104963064194,0,0.0501660965383053,0.170802101492882,0.156457483768463,0.0148748829960823,0.152954190969467,0.26494026184082,0.000797095650341362,0.039345920085907,0.017556993290782,0
71026572,52.71784923544,-114.685149950016,0.280489683151245,0,0.0557681620121002,0.164903625845909,0.117923893034458,0.010292174294591,0.140834793448448,0.184561878442764,0.000124431462609209,0.0257489886134863,0.0193523559719324,0
71026700,52.7858294767965,-114.689014269186,0.395341157913208,0,0.0812839493155479,0.230260297656059,0.0795104801654816,0.00407231971621513,0.143532693386078,0.000746067031286657,0.00113167439121753,0.0251230634748936,0.0389982871711254,0
71026853,52.8199212999473,-114.61109216176,0.314994812011719,0,0.0472044572234154,0.274907231330872,0.139477759599686,0.00679270969703794,0.12714022397995,0.0516635999083519,0.000358785502612591,0.0167411435395479,0.0207192804664373,0
71027942,51.0975344152936,-114.209554457488,0.0137518895789981,0,2.94004366878653e-05,0.00272248056717217,0.12675316631794,0.136522948741913,0.000411606102716178,0.0519644282758236,0.00392392883077264,0.637853741645813,0.026066429913044,0
71027957,51.1561597073624,-114.40650772078,0.00983298290520906,0,5.83377659495454e-05,0.000645199266728014,0.223329871892929,0.391275882720947,0.000780017056968063,0.213510319590569,0.000838758482132107,0.125328809022903,0.0343997702002525,0
71027962,51.1846480472298,-114.491796094459,0.0298730880022049,0,0,0,0.161311194300652,0.243107169866562,0,0.00496644154191017,0,0.469290792942047,0.0914513021707535,0
71027963,51.200961728395,-114.506737037037,0.00876559503376484,0,0,0,0.14784038066864,0.333269268274307,0.00111113174352795,0.0610874854028225,0.000246347975917161,0.427194893360138,0.0204848870635033,0
71027969,51.1940971205465,-114.572981179844,0.0022775074467063,0,0.00854653865098953,0.0079846503213048,0.412921488285065,0.322306245565414,0.000304987508570775,0.193453878164291,0.000396483781514689,0.0262513533234596,0.0255568716675043,0
71027979,51.2136778573052,-114.593959611452,0.0145732909440994,0,0.00447596376761794,0.00661364383995533,0.408068507909775,0.369094282388687,0.00715955393388867,0.142532467842102,0.000568218587432057,0.0214282814413309,0.0254857651889324,0
71027981,51.2140071368598,-114.641518891688,0.0293631590902805,0,0.00804906338453293,0.0251908097416162,0.439282089471817,0.298675090074539,0.00201571453362703,0.0498931668698788,0,0.0880625173449516,0.0594683885574341,0
71027992,51.20581509299,-114.683994277539,0.0365479812026024,0,0.0170610975474119,0.0199252348393202,0.484930902719498,0.319947689771652,0,0.0069265621714294,0.0033135823905468,0.0408646203577518,0.0704823508858681,0
71028007,51.1860929967014,-114.782376511884,0.105486385524273,0,0.00118377665057778,0.00533764529973269,0.419736802577972,0.268951028585434,0,0.0174422319978476,0.000194905122043565,0.0605186969041824,0.121148481965065,0
71028014,51.1664030131827,-114.863915402914,0.0822438076138496,0,0,0,0.303069561719894,0.336345106363297,0,0.0228531565517187,0.00252567860297859,0.213057085871696,0.0399056151509285,0
71028023,51.1365109509589,-114.937076678354,0.190894961357117,0,0,0.000324190623359755,0.329800695180893,0.300668925046921,0,0.0180122964084148,0.00652587506920099,0.131946057081223,0.0218270011246204,0
